"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Gary Sanchez","- - -","666","2665","154","341","401","6","9.8%","26.9%",".242",".252",".225",".311",".467",".331","","109","-10.9","20.3","31.2","14.1","11442"
"Todd Frazier","- - -","768","3103","145","381","405","43","9.4%","22.3%",".211",".253",".231",".314",".442",".324","","104","-4.1","11.5","25.3","14.0","785"
"Yordan Alvarez","HOU","368","1537","98","247","283","2","11.7%","22.5%",".294",".329",".296",".384",".590",".405","","164","-2.1","114.9","-29.2","14.0","19556"
"Mike Zunino","- - -","667","2289","119","242","287","1","7.5%","35.8%",".219",".258",".199",".272",".418",".296","","89","-4.5","-34.7","95.9","13.9","13265"
"Willy Adames","- - -","570","2284","94","301","280","25","8.9%","28.2%",".193",".325",".255",".322",".448",".330","","111","7.9","37.9","21.1","13.7","15986"
"Jason Heyward","- - -","898","3446","75","414","349","55","9.5%","16.2%",".135",".287",".254",".329",".388",".313","","94","18.5","-7.9","29.7","13.7","4940"
"Jorge Polanco","MIN","747","3178","98","403","396","47","8.4%","17.3%",".173",".302",".270",".334",".444",".333","","110","7.4","47.1","-20.9","13.7","13152"
"Fernando Tatis Jr.","SDP","273","1175","81","210","195","52","10.1%","27.6%",".303",".347",".292",".369",".596",".399","","153","13.7","94.6","3.8","13.6","19709"
"Ian Kinsler","- - -","661","2782","84","395","278","56","7.3%","14.3%",".160",".282",".262",".323",".423",".322","","101","3.6","5.0","34.5","13.6","6195"
"Yoan Moncada","- - -","643","2740","82","333","299","30","10.3%","29.2%",".172",".342",".253",".334",".425",".328","","108","12.5","40.0","1.7","13.6","17232"
"Yadier Molina","STL","898","3508","80","326","438","30","5.3%","13.1%",".126",".288",".268",".311",".394",".304","","91","-34.7","-73.5","92.2","13.6","7007"
"Travis d'Arnaud","- - -","572","2166","83","251","305","1","6.9%","20.4%",".181",".290",".257",".316",".438",".323","","104","-10.5","-0.5","61.9","13.6","7739"
"Edwin Encarnacion","- - -","753","3241","195","463","557","10","12.5%","20.3%",".258",".259",".253",".352",".511",".365","","129","-16.6","98.0","-77.8","13.5","2151"
"Adrian Beltre","TEX","509","2129","82","268","323","4","7.6%","13.1%",".191",".302",".292",".349",".484",".354","","116","-3.1","38.6","20.1","13.4","639"
"Joc Pederson","- - -","1001","3393","171","456","434","22","11.1%","24.0%",".235",".268",".238",".334",".473",".344","","118","-1.0","74.4","-54.6","13.3","11899"
"Shohei Ohtani","LAA","581","2272","127","326","342","66","11.4%","26.9%",".265",".321",".267",".354",".532",".370","","137","7.4","106.5","-53.1","13.3","19755"
"Tommy Edman","STL","459","1897","40","274","175","79","6.1%","16.6%",".141",".308",".269",".322",".410",".317","","102","22.6","27.9","37.6","13.2","19470"
"Odubel Herrera","PHI","817","3181","78","376","305","68","6.6%","20.8%",".148",".326",".271",".326",".419",".321","","99","8.9","4.9","21.6","13.2","11476"
